id,code,platform,platform_id,booking_date,arrival_date,departure_date,check_in,check_out,nights,reservation_status,conversation_id,last_message_at,guests,status,status_history
279709a0-6ea3-4b83-a39a-6eec08239f1a,HMZRJY53SS,airbnb,HMZRJY53SS,2024-12-30T21:35:37Z,2025-02-14T00:00:00-06:00,2025-02-17T00:00:00-06:00,2025-02-14T16:00:00-06:00,2025-02-17T11:00:00-06:00,3,"{'current': {'category': 'accepted', 'sub_category': None}, 'history': [{'category': 'accepted', 'sub_category': None, 'changed_at': '2024-12-30T21:35:50+00:00'}]}",05369016-afbb-47fe-a4de-135cfa5e0ca0,2025-02-16T18:22:36+00:00,"{'total': 2, 'adult_count': 2, 'child_count': 0, 'infant_count': 0, 'pet_count': 0}",accepted,"[{'category': 'Accepted', 'status': 'accepted', 'changed_at': '2024-12-30T21:35:50+00:00'}]"
9df99d65-3c42-4a5b-a1c3-763c4240b7fa,HM9BQWCXTM,airbnb,HM9BQWCXTM,2025-02-16T21:26:17Z,2025-02-17T00:00:00-06:00,2025-02-20T00:00:00-06:00,2025-02-17T16:00:00-06:00,2025-02-20T11:00:00-06:00,3,"{'current': {'category': 'accepted', 'sub_category': None}, 'history': [{'category': 'accepted', 'sub_category': None, 'changed_at': '2025-02-16T21:26:28+00:00'}]}",2d8c096d-66e3-43d5-84c8-153ca6548afd,2025-02-18T17:00:59+00:00,"{'total': 3, 'adult_count': 3, 'child_count': 0, 'infant_count': 0, 'pet_count': 0}",accepted,"[{'category': 'Accepted', 'status': 'accepted', 'changed_at': '2025-02-16T21:26:28+00:00'}]"
671d2abc-ad5e-4908-b603-f46192a06662,HMK59NJ9C9,airbnb,HMK59NJ9C9,2025-01-27T05:41:18Z,2025-02-16T00:00:00-06:00,2025-02-17T00:00:00-06:00,2025-02-16T16:00:00-06:00,2025-02-17T11:00:00-06:00,1,"{'current': {'category': 'accepted', 'sub_category': None}, 'history': [{'category': 'accepted', 'sub_category': None, 'changed_at': '2025-01-27T05:41:33+00:00'}]}",3196c239-9cf1-4eca-aff5-6c9d13bc931c,2025-02-18T00:32:46+00:00,"{'total': 4, 'adult_count': 4, 'child_count': 0, 'infant_count': 0, 'pet_count': 0}",accepted,"[{'category': 'Accepted', 'status': 'accepted', 'changed_at': '2025-01-27T05:41:33+00:00'}]"
c8964ca6-51bf-4df1-9b5b-5ad1cb2c5963,HMRBRNEXKM,airbnb,HMRBRNEXKM,2025-02-17T16:26:22Z,2025-02-17T00:00:00-06:00,2025-02-20T00:00:00-06:00,2025-02-17T16:00:00-06:00,2025-02-20T11:00:00-06:00,3,"{'current': {'category': 'accepted', 'sub_category': None}, 'history': [{'category': 'accepted', 'sub_category': None, 'changed_at': '2025-02-17T16:26:35+00:00'}]}",e74d1cf3-5d10-43fe-b216-4c219f013803,2025-02-18T17:01:04+00:00,"{'total': 1, 'adult_count': 1, 'child_count': 0, 'infant_count': 0, 'pet_count': 0}",accepted,"[{'category': 'Accepted', 'status': 'accepted', 'changed_at': '2025-02-17T16:26:35+00:00'}]"
11cbf252-56e9-4efa-b3eb-c56224b32912,HMDHM9Q8JF,airbnb,HMDHM9Q8JF,2025-02-05T23:02:23Z,2025-02-09T00:00:00-06:00,2025-02-18T00:00:00-06:00,2025-02-09T16:00:00-06:00,2025-02-18T11:00:00-06:00,9,"{'current': {'category': 'accepted', 'sub_category': None}, 'history': [{'category': 'accepted', 'sub_category': None, 'changed_at': '2025-02-05T23:02:35+00:00'}]}",eb6c7dc4-8405-49da-80a7-6df0df9ad560,2025-02-18T17:38:17+00:00,"{'total': 1, 'adult_count': 1, 'child_count': 0, 'infant_count': 0, 'pet_count': 0}",accepted,"[{'category': 'Accepted', 'status': 'accepted', 'changed_at': '2025-02-05T23:02:35+00:00'}]"
e16a10d9-f22c-45ec-b94f-fb5b69c12856,HMJSCW48P2,airbnb,HMJSCW48P2,2025-02-18T02:16:39Z,2025-02-18T00:00:00-06:00,2025-02-19T00:00:00-06:00,2025-02-18T16:00:00-06:00,2025-02-19T11:00:00-06:00,1,"{'current': {'category': 'accepted', 'sub_category': None}, 'history': [{'category': 'accepted', 'sub_category': None, 'changed_at': '2025-02-18T02:16:50+00:00'}]}",44ec111c-4d2c-4d0e-ae4d-a23600ad6e59,2025-02-18T17:56:22+00:00,"{'total': 1, 'adult_count': 1, 'child_count': 0, 'infant_count': 0, 'pet_count': 0}",accepted,"[{'category': 'Accepted', 'status': 'accepted', 'changed_at': '2025-02-18T02:16:50+00:00'}]"
9c6c2463-557c-48d9-ab78-34d464fdc1e9,HMBE2S2D2E,airbnb,HMBE2S2D2E,2025-02-18T01:04:43Z,2025-02-18T00:00:00-06:00,2025-02-20T00:00:00-06:00,2025-02-18T16:00:00-06:00,2025-02-20T11:00:00-06:00,2,"{'current': {'category': 'accepted', 'sub_category': None}, 'history': [{'category': 'accepted', 'sub_category': None, 'changed_at': '2025-02-18T01:04:54+00:00'}]}",5c6c35c6-c563-4717-b055-06d828d94112,2025-02-18T01:04:44+00:00,"{'total': 2, 'adult_count': 2, 'child_count': 0, 'infant_count': 0, 'pet_count': 0}",accepted,"[{'category': 'Accepted', 'status': 'accepted', 'changed_at': '2025-02-18T01:04:54+00:00'}]"
9448f66e-ca21-428f-b954-c7fcdd0f59a9,HMES3C2BJ4,airbnb,HMES3C2BJ4,2025-01-11T22:13:33Z,2025-02-14T00:00:00-06:00,2025-02-22T00:00:00-06:00,2025-02-14T16:00:00-06:00,2025-02-22T11:00:00-06:00,8,"{'current': {'category': 'accepted', 'sub_category': None}, 'history': [{'category': 'accepted', 'sub_category': None, 'changed_at': '2025-01-11T22:13:44+00:00'}]}",b44c234b-ed2b-4fb5-a438-05b647e8a895,2025-02-16T01:36:09+00:00,"{'total': 2, 'adult_count': 2, 'child_count': 0, 'infant_count': 0, 'pet_count': 0}",accepted,"[{'category': 'Accepted', 'status': 'accepted', 'changed_at': '2025-01-11T22:13:44+00:00'}]"
f30ff5c0-1a90-4f02-bc5f-5323a0ccea5e,HM8QYQCZJA,airbnb,HM8QYQCZJA,2025-02-11T04:35:12Z,2025-02-11T00:00:00-06:00,2025-02-17T00:00:00-06:00,2025-02-11T16:00:00-06:00,2025-02-17T11:00:00-06:00,6,"{'current': {'category': 'accepted', 'sub_category': None}, 'history': [{'category': 'request', 'sub_category': 'request to book', 'changed_at': '2025-02-11T03:37:52+00:00'}, {'category': 'accepted', 'sub_category': None, 'changed_at': '2025-02-11T04:35:25+00:00'}]}",7aa0933b-af1f-4465-a824-319a5e4b6646,2025-02-17T16:34:55+00:00,"{'total': 2, 'adult_count': 2, 'child_count': 0, 'infant_count': 0, 'pet_count': 0}",accepted,"[{'category': 'Pending', 'status': 'pending', 'changed_at': '2025-02-11T03:37:52+00:00'}, {'category': 'Accepted', 'status': 'accepted', 'changed_at': '2025-02-11T04:35:25+00:00'}]"
945f7411-370c-4e1d-be56-a50adf85bdcb,HM4B9MDQXM,airbnb,HM4B9MDQXM,2025-02-17T23:10:17Z,2025-02-17T00:00:00-06:00,2025-02-18T00:00:00-06:00,2025-02-17T16:00:00-06:00,2025-02-18T11:00:00-06:00,1,"{'current': {'category': 'accepted', 'sub_category': None}, 'history': [{'category': 'accepted', 'sub_category': None, 'changed_at': '2025-02-17T23:10:29+00:00'}]}",5792b3cd-4828-4579-98bf-f942963d8e76,2025-02-17T23:25:13+00:00,"{'total': 4, 'adult_count': 4, 'child_count': 0, 'infant_count': 0, 'pet_count': 0}",accepted,"[{'category': 'Accepted', 'status': 'accepted', 'changed_at': '2025-02-17T23:10:29+00:00'}]"
